Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/mousemine_SequenceCollection	718728	718728	mine_voc:\nhasGlTransmission	mine_type:\nGlTransmission	718728	4
http://mo-ld.org/resource/mousemine_Allele	718728	718728	mine_voc:\nhasGlTransmission	http://mo-ld.org/mine_type:GlTransmission	718728	4
http://mo-ld.org/resource/mousemine_BioEntity	718728	718728	mine_voc:\nhasGlTransmission	http://mo-ld.org/mine_type:GlTransmission	718728	4
http://mo-ld.org/resource/mousemine_SequenceFeature	675137	459003	mine_voc:\nhasDataSet	mold_res:\nmousemine_DataSet	675137	12
http://mo-ld.org/resource/mousemine_DataSet	675137	12	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceFeature	675137	459003
mold_res:\nmousemine_Gene	604199	388065	mine_voc:\nhasDataSet	mold_res:\nmousemine_DataSet	604199	11
http://mo-ld.org/resource/mousemine_DataSet	604199	11	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_Gene	604199	388065
http://mo-ld.org/resource/mousemine_Synonym	579651	579651	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceFeature	579651	187977
http://mo-ld.org/resource/mousemine_SequenceFeature	579651	187977	mine_voc:\nhasSynonym	http://mo-ld.org/resource/mousemine_Synonym	579651	579651
http://mo-ld.org/resource/mousemine_BioEntity	557283	557283	mine_voc:\nhasCellLineType	http://mo-ld.org/mine_type:CellLineType	557283	1
http://mo-ld.org/resource/mousemine_BioEntity	557116	557116	mine_voc:\nhasCellLineDerivation	http://mo-ld.org/resource/mousemine_CellLineDerivation	557116	375
http://mo-ld.org/resource/mousemine_BioEntity	545225	514990	mine_voc:\nhasCellLine	http://mo-ld.org/resource/mousemine_BioEntity	545225	543329
http://mo-ld.org/resource/mousemine_SequenceCollection	544629	514395	mine_voc:\nhasCellLine	http://mo-ld.org/resource/mousemine_BioEntity	544629	543329
http://mo-ld.org/resource/mousemine_Allele	544629	514395	mine_voc:\nhasCellLine	http://mo-ld.org/resource/mousemine_BioEntity	544629	543329
http://mo-ld.org/resource/mousemine_OntologyAnnotation	498408	498408	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceFeature	498408	34923
http://mo-ld.org/resource/mousemine_SequenceFeature	498408	34923	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/mousemine_OntologyAnnotation	498408	498408
http://mo-ld.org/resource/mousemine_BioEntity	482249	292763	mine_voc:\nhasLocation	http://mo-ld.org/resource/mousemine_Location	482249	269981
