Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/humanmine_MRNA	1248208	94334	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_BioEntity	1248208	1248208
http://mo-ld.org/resource/humanmine_MRNA	1248208	94334	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Region	1248208	1248208
http://mo-ld.org/resource/humanmine_MRNA	1248208	94334	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_SequenceFeature	1248208	1248208
http://mo-ld.org/resource/humanmine_MRNA	1248208	94334	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Exon	1248208	1248208
mold_res:\nhumanmine_CrossReference	1241123	1241123	mine_voc:\nhasDataSource	mold_res:\nhumanmine_DataSource	1241123	24
http://mo-ld.org/resource/humanmine_CrossReference	1241123	1241123	mine_voc:\nhasIdentifier	mine_type:\nIdentifier	1241123	457903
mold_res:\nhumanmine_Synonym	1166126	1166126	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	1166126	6
http://mo-ld.org/resource/humanmine_Synonym	1166126	1166126	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_BioEntity	1166126	356483
http://mo-ld.org/resource/humanmine_Synonym	1166126	1166126	mine_voc:\nhasValue	mine_type:\nValue	1166126	736516
http://mo-ld.org/resource/humanmine_BioEntity	1166126	356483	mine_voc:\nhasSynonym	http://mo-ld.org/resource/humanmine_Synonym	1166126	1166126
mold_res:\nhumanmine_CDS	1156163	94913	mine_voc:\nhasLocation	http://mo-ld.org/resource/humanmine_Location	1156163	1156163
http://mo-ld.org/resource/humanmine_Location	1156163	1156163	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_CDS	1156163	94913
http://mo-ld.org/resource/humanmine_SequenceFeature	1150979	1150979	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_BioEntity	1150979	50651
http://mo-ld.org/resource/humanmine_SequenceFeature	1150979	1150979	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Region	1150979	50651
http://mo-ld.org/resource/humanmine_SequenceFeature	1150979	1150979	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Gene	1150979	50651
http://mo-ld.org/resource/humanmine_SequenceFeature	1150979	1150979	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_SequenceFeature	1150979	50651
mold_res:\nhumanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasReliability	mine_type:\nReliability	1147812	4
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasTissue	mold_res:\nhumanmine_Tissue	1147812	48
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasCellType	mine_type:\nCellType	1147812	44
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasExpressionType	mine_type:\nExpressionType	1147812	2
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_BioEntity	1147812	14428
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Region	1147812	14428
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Gene	1147812	14428
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_SequenceFeature	1147812	14428
http://mo-ld.org/resource/humanmine_BioEntity	1147812	14428	mine_voc:\nhasProteinAtlasExpression	http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_Region	1147812	14428	mine_voc:\nhasProteinAtlasExpression	http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_Gene	1147812	14428	mine_voc:\nhasProteinAtlasExpression	http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_SequenceFeature	1147812	14428	mine_voc:\nhasProteinAtlasExpression	http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_Tissue	1147812	48	mine_voc:\nhasProteinAtlasExpression	http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812
http://mo-ld.org/resource/humanmine_ProteinAtlasExpression	1147812	1147812	mine_voc:\nhasLevel	mine_type:\nLevel	1147812	4
http://mo-ld.org/resource/humanmine_BioEntity	1106556	68583	mine_voc:\nhasProteinDomainRegion	mold_res:\nhumanmine_ProteinDomainRegion	1106556	553278
mold_res:\nhumanmine_OntologyAnnotation	1104413	1104413	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	1104413	31
mold_res:\nhumanmine_Homologue	1095832	547918	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_BioEntity	1095832	91809
http://mo-ld.org/resource/humanmine_Homologue	1095832	547918	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Region	1095832	91809
http://mo-ld.org/resource/humanmine_Homologue	1095832	547918	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Gene	1095832	91809
http://mo-ld.org/resource/humanmine_Homologue	1095832	547918	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_SequenceFeature	1095832	91809
http://mo-ld.org/resource/humanmine_BioEntity	1077003	140405	mine_voc:\nhasOntologyTerm	mold_res:\nhumanmine_OntologyTerm	1077003	769
mold_res:\nhumanmine_Protein	1077003	140405	mine_voc:\nhasOntologyTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1077003	769
mold_res:\nhumanmine_GOAnnotation	1026010	1026010	mine_voc:\nhasDataSet	http://mo-ld.org/resource/humanmine_DataSet	1026010	30
http://mo-ld.org/resource/humanmine_OntologyAnnotation	1026010	1026010	mine_voc:\nhasOntologyTerm	mold_res:\nhumanmine_GOTerm	1026010	17750
http://mo-ld.org/resource/humanmine_GOAnnotation	1026010	1026010	mine_voc:\nhasOntologyTerm	http://mo-ld.org/resource/humanmine_GOTerm	1026010	17750
http://mo-ld.org/resource/humanmine_OntologyAnnotation	1026010	1026010	mine_voc:\nhasOntologyTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1026010	17750
http://mo-ld.org/resource/humanmine_GOAnnotation	1026010	1026010	mine_voc:\nhasOntologyTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1026010	17750
http://mo-ld.org/resource/humanmine_GOTerm	1026010	17750	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/humanmine_OntologyAnnotation	1026010	1026010
http://mo-ld.org/resource/humanmine_OntologyTerm	1026010	17750	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/humanmine_OntologyAnnotation	1026010	1026010
